"id","nombre","precio_min","precio_max"
20526,"Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr","2109.00","4450.00"
20527,"Huevo de Chocolate Sorpresa Kinder 20 Gr","1630.00","2615.00"
20528,"Chocolate Confitado Rocklets 40 Gr","899.00","1470.00"
20529,"Galletitas Chocolate con Relleno de Limon Melba 120 Gr","919.00","1450.00"
20530,"Galletitas Obleas Rellena Opera 92 Gr","769.00","1450.00"
20531,"Chocolate Leche Arcor 25 Gr","615.00","1065.00"
20532,"Huevo de Pascua con Sorpresa en Caja Kinder 20 Gr","1630.00","2615.00"
20533,"Galletitas Vainilla con Relleno de Limon Duquesa 115 Gr","920.00","1330.00"
20534,"Pastilla Mentita Menta 26 Gr","320.00","600.00"
20535,"Pastillas Frutal Mentitas Lacasa 26 Gr","320.00","600.00"
20536,"Galletitas Rellena Sabor Frambuesa Sonrisas 108 Gr","799.00","1650.00"
20537,"Yerba Mate Campo Origen Controlado La Merced 500 Gr","3570.00","4274.00"
20538,"Azucar Molida Superior Ledesma 1 Kg","1035.84","1109.00"
20539,"Alfajor Clasico Terrabusi 50 Gr","850.00","1095.00"
20540,"Galletitas Salvado Frutigran Granix 250 Gr","1290.00","1469.00"
20541,"Te Comun La Virginia 50 Un","1430.00","1859.00"
20542,"Pure de Papas Knorr 125 Gr","1993.00","2119.00"
20543,"Te Verde en Saquitos La Virginia 20 Un","1190.00","1250.00"
20544,"Bombones Chocolate Avellana Ferrero Rocher 37.5 Gr","2290.00","4025.00"
20545,"Harina de Trigo 0000 Morixe 1 Kg","955.00","1078.00"
20546,"Mayonesa Clasica Doypack Hellmanns 950 Gr","3333.00","3540.00"
20547,"Sal Gruesa en Paquete Celusal 1 Kg","1729.00","1979.00"
20548,"Mermelada de Ciruela Bc 390 Gr","1829.00","2389.00"
20549,"Yerba Mate con Palo Suave Chamigo 500 Gr","1574.40","1675.00"
20550,"Bizcochos Agridulces Don Satur 200 Gr","844.00","1100.00"
20551,"Alfajor Triple Dulce de Leche Terrabusi 70 Gr","1345.00","1650.00"
20552,"Polvo para Preparar Flan Sabor Vainilla Exquisita 40 Gr","763.20","795.00"
20553,"Turron Arcor 25 Gr","180.00","370.00"
20554,"Caldo de Verdura Maggi 114 Gr","1119.00","1398.50"
20555,"Tableta de Chocolate con Leche Kinder 50 Gr","1819.00","3060.00"
20556,"Fideos Dedalitos Lucchetti 500 Gr","1152.00","1299.00"
20557,"Yerba Mate en Saquitos Taragui 50 Un","1740.00","1957.00"
20558,"Bombon Chocolate con Leche Relleno Bon O Bon 16 Gr","330.00","459.00"
20559,"Leche en Polvo Descremada Fortificada La Serenisima 200 Gr","2549.00","2629.00"
20560,"Yerba Mate con Palo 4Flex Suave Union 500 Gr","2109.00","4450.00"
20561,"Galletitas Surtidas Mix Chocolate Variedad 300 Gr","2065.00","2359.00"
20562,"Te con Limon en Saquitos Ensobrados La Virginia 20 Un","1635.00","1711.00"
20563,"Dulce de Leche Repostero La Serenisima 400 Gr","2840.00","2925.00"
20564,"Alfajor con Chips Triple Pepitos 57 Gr","1229.00","1650.00"
20565,"Galletitas Golden Rellenas Sabor Vainilla Oreo 118 Gr","1575.00","1889.99"
20566,"Alfajor Triple Leche Milka 70 Gr","1215.00","1650.00"
20567,"Mermelada de Durazno Bc La Campagnola 390 Gr","1830.00","2389.00"
20568,"Yerba 4 Flex Mañanita 1 Kg","4385.00","4899.00"
20569,"Tableta de Chocolate Kinder 12.5 Gr","527.00","649.99"
20570,"Bizcochitos Clasicas 9 de Oro 200 Gr","709.00","809.00"
20571,"Caldo de Gallina Maggi 12Un 114 Gr","1170.00","1469.00"
20572,"Cafe Molido Clasico Bolsa La Morenita 250 Gr","3475.00","3750.00"
20573,"Mostaza Original Tips Doypack Savora 250 Gr","1039.00","1069.00"
20574,"Tostada de Arroz Clasica Ala 150 Gr","1500.00","2400.00"
20575,"Galletitas Surtidas Mix Chocolate Variedad 300 Gr","2065.00","2359.00"
20576,"Yerba Mate con Palo Suave Chamigo 500 Gr","1574.40","1675.00"
20577,"Te Comun La Virginia 50 Un","1430.00","1859.00"
20578,"Fideos Dedalitos Lucchetti 500 Gr","1152.00","1299.00"
20579,"Yerba 4 Flex Mañanita 1 Kg","4385.00","4899.00"
20580,"Mermelada Naranja sin TACC Arcor 454 Gr","1819.00","2185.53"
20581,"Gomitas Dino Frutal Yummy 30 Gr","360.00","678.00"
20582,"Harina con Levadura Pizza Pureza 1 Kg","1460.00","1562.00"
20583,"Fideos Letritas Lucchetti 500 Gr","1195.00","1289.00"
20584,"Galletitas con Chips Chocolate Pepitos 119 Gr","1339.00","2000.00"
20585,"Galletitas Clasicas Cerealitas 212 Gr","1149.00","1900.00"
20586,"Yerba Mate Suave con Palo Playadito 500 Gr","1890.00","2595.00"
20587,"Galletitas de Arroz Crackers Dips sin Gluten Molinos Ala 100 Gr","1319.00","1900.00"
20588,"Yerba Mate Amanda 1 Kg","3400.00","4127.00"
20589,"Alfajor Chococrunch Gallo Snacks 20 Gr","605.00","890.00"
20590,"Te de Boldo en Saquitos La Virgina 25 Un","1690.00","1810.00"
20591,"Te Negro Sabor Frutilla Saquitos Ensobrado Green Hills 20 Un","1715.00","1949.00"
20592,"Tableta de Chocolate con Yogur Frutilla Cadbury 29 Gr","1115.00","1220.00"
20593,"Alfajor Triple Trishot 60 Gr","1350.00","1650.00"
20594,"Aderezo para Ensaladas Caesar Dos Anclas 350 Gr","3140.00","3272.00"
20595,"Polvo para Hornear Royal 50 Gr","890.00","1115.00"
20596,"Mayonesa Liviana sin TACC Doypack Hellmann's 237 Gr","1020.00","1089.00"
20597,"Te Manzanillas Hierbas La Virginia 25 Un","1350.00","1455.00"
20598,"Chocolate Semi Amargo Classic Nestle 80 Gr","2450.00","3545.00"
20599,"Cafe Molido Intenso La Morenita 500 Gr","5690.00","7499.00"
20600,"Chocolate Crunch Nestle 80 Gr","2500.00","3545.00"
20601,"Cafe Molido Torrado Clasico La Virginia 125 Gr","1990.00","2129.00"
20602,"Tostadas Integrales de Arroz sin Sal Molinos Ala 150 Gr","2060.00","2550.00"
20603,"Yerba Mate Suave Romance 1 Kg","3845.00","4777.00"
20604,"Palitos Salados con Queso Pehuamar 165 Gr","2140.00","2669.00"
20605,"Chocolate Blanco Milka Oreo 20 Gr","669.00","779.00"
20606,"Galletitas con Avena y Pasas Frutigran Granix 250 Gr","1555.00","1895.00"
20607,"Galletitas con Chia y Amaranto Naturalmente Granix 240 Gr","1549.99","1750.00"
20608,"Galletitas con Chips Pepitos 357 Gr","3649.00","4270.00"
20609,"Galletitas Dulces Clasicas Lincoln 219 Gr","1539.00","1730.00"
20610,"Te de Manzanilla Saquitos Ensobrado Green Hills 20 Un","1195.00","1447.79"
